dataset_id,filename,original_filename,category,source_org,source_url,download_date,data_period,geographic_scope,format,description,raw_or_derived,notes
ntpc_rental_transactions_2026-08-21,data/raw/housing/ntpc_rental_transactions_2026-08-21.csv,不動產實價登錄資訊-租賃案件.csv,housing,New Taipei City Government Open Data Platform,https://data.ntpc.gov.tw/datasets/18d62577-1d5f-4967-ab9c-d71faba8cde1,2026-08-21,,New Taipei City,csv,Individual real-price registration records for real estate rental transactions.,raw,Renamed and organized under data/raw/housing; raw contents must remain unchanged.
moi_rent_total_quartiles_2026-03,data/raw/housing/moi_rent_total_quartiles_2026-03.pdf,11503表一、全國各行政區租金總價四分位數.pdf,housing,Ministry of the Interior,https://pip.moi.gov.tw/Publicize/Info/E1080,TODO,2026-03,Taiwan,pdf,District-level rent total Q1 median and Q3 statistics for ROC year 115 month 03.,raw,Renamed and organized under data/raw/housing; raw contents must remain unchanged.
moi_rent_unit_price_quartiles_2026-03,data/raw/housing/moi_rent_unit_price_quartiles_2026-03.pdf,11503表三、全國各行政區租金單價四分位數.pdf,housing,Ministry of the Interior,https://pip.moi.gov.tw/Publicize/Info/E1080,TODO,2026-03,Taiwan,pdf,District-level rent unit price Q1 median and Q3 statistics for ROC year 115 month 03.,raw,Renamed and organized under data/raw/housing; raw contents must remain unchanged.
tdx_candidate_locations_2026-08-21,data/processed/transport/candidate_locations.csv,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC; https://tdx.transportdata.tw/api/basic/v2/Rail/TRA/Station,2026-08-21,2026-08-21,New Taipei City and Taipei City,csv,Candidate station coordinates from TDX TRA and TRTC station data.,derived,Generated by scripts/transport/build_commute_to_gangqian.py; coordinates are from TDX station APIs.
tdx_commute_to_gangqian_2026-08-24_0800,data/processed/transport/commute_to_gangqian.csv,,transport,TDX MaaS,https://tdx.transportdata.tw/api/maas/routing,2026-08-21,2026-08-24T08:00:00+08:00,New Taipei City to Taipei Neihu,csv,MaaS public transit commute routes from candidate stations to Gangqian Station.,derived,Generated by scripts/transport/build_commute_to_gangqian.py; raw responses in data/interim/transport/tdx_maas_responses; fastest returned route with transit selected.
rent_commute_candidates_2026-08-24_0800,data/processed/integration/rent_commute_candidates.csv,,integration,Derived from MOI and TDX,https://pip.moi.gov.tw/Publicize/Info/E1080; https://tdx.transportdata.tw/api/maas/routing,2026-08-21,MOI 2026-03 rent benchmark and TDX 2026-08-24T08:00:00+08:00 commute scenario,New Taipei City to Taipei Neihu,csv,Candidate-level table joining official independent-suite median rent with commute time to Gangqian Station.,derived,Generated by scripts/integration/build_rent_commute_candidates.py; includes Pareto-efficient flag minimizing rent and commute minutes.
tdx_candidate_locations_expanded_2026-08-22,data/processed/transport/candidate_locations_expanded.csv,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC; https://tdx.transportdata.tw/api/basic/v2/Rail/TRA/Station; https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TYMC; https://tdx.transportdata.tw/api/basic/v2/Bus/Station/City/NewTaipei,2026-08-22,TDX station data current as cached on 2026-08-22,New Taipei City and Taipei City,csv,Expanded candidate station and bus-station coordinates from TDX station APIs for 16 candidate living-area nodes.,derived,Generated by scripts/transport/build_commute_to_gangqian_expanded.py; coordinates are from TDX station or bus-station APIs and include selection reasons.
tdx_commute_to_gangqian_expanded_2026-08-24_0800,data/processed/transport/commute_to_gangqian_expanded.csv,,transport,TDX MaaS,https://tdx.transportdata.tw/api/maas/routing,2026-08-22,2026-08-24T08:00:00+08:00,New Taipei City to Taipei Neihu,csv,Expanded MaaS public transit commute routes from 16 candidate nodes to Gangqian Station.,derived,Generated by scripts/transport/build_commute_to_gangqian_expanded.py; raw responses in data/interim/transport/tdx_maas_responses; fastest returned route with transit selected.
rent_commute_candidates_expanded_2026-08-24_0800,data/processed/integration/rent_commute_candidates_expanded.csv,,integration,Derived from MOI and TDX,https://pip.moi.gov.tw/Publicize/Info/E1080; https://tdx.transportdata.tw/api/maas/routing,2026-08-22,MOI 2026-03 rent benchmark and TDX 2026-08-24T08:00:00+08:00 commute scenario,New Taipei City to Taipei Neihu,csv,Expanded candidate-level table joining official independent-suite median rent with commute time to Gangqian Station for 16 nodes.,derived,Generated by scripts/integration/build_rent_commute_analysis_expanded.py; includes Pareto-efficient flag minimizing rent and commute minutes.
preference_recommendations_2026-08-24_0800,data/processed/integration/preference_recommendations.csv,,integration,Derived from MOI TDX and OSM,https://pip.moi.gov.tw/Publicize/Info/E1080; https://tdx.transportdata.tw/api/maas/routing; https://overpass-api.de/api/interpreter,2026-08-22,MOI 2026-03 rent benchmark TDX 2026-08-24T08:00:00+08:00 commute scenario and OSM POI cache queried on 2026-08-22,New Taipei City to Taipei Neihu,csv,MVP preference-mode rankings; rent commute modes use Pareto-efficient rent x commute candidates and life-quality mode ranks all 16 candidates using POI livability proxy.,derived,Generated by scripts/integration/build_preference_recommendations.py; weights are MVP user preference settings; livability_index is a POI-based proxy and not an objective quality-of-life score.
osm_overpass_livability_poi_800m_2026-08-22,data/raw/livability/osm_overpass_800m_2026-08-22,,livability,OpenStreetMap contributors via Overpass API,https://overpass-api.de/api/interpreter; https://overpass.kumi.systems/api/interpreter,2026-08-22,OSM snapshot queried on 2026-08-22,800m radius around 16 candidate living-area nodes,json,Raw cached Overpass API responses for MVP livability POI categories around candidate transport nodes.,raw,Generated by scripts/livability/build_livability_poi.py only when cache files are missing; query definition stored in outputs/livability/osm_overpass_query_definition.json; raw cache contents must not be edited in place.
livability_by_candidate_800m_2026-08-22,data/processed/livability/livability_by_candidate.csv,,livability,Derived from OpenStreetMap / Overpass API,https://overpass-api.de/api/interpreter; https://overpass.kumi.systems/api/interpreter,2026-08-22,OSM snapshot queried on 2026-08-22,800m radius around 16 candidate living-area nodes,csv,POI category counts and equal-weight normalized livability-function proxy by candidate living area.,derived,Generated by scripts/livability/build_livability_poi.py from raw Overpass cache; equal-weight index is exploratory and not an objective quality-of-life score.
nlsc_town_boundary_twd97_2023-03-17,data/interim/housing/boundaries/nlsc_town_boundary_twd97.zip,鄉鎮市區界線(TWD97經緯度).zip,reference,National Land Surveying and Mapping Center / Ministry of the Interior,https://maps.nlsc.gov.tw/download/%E9%84%89%E9%8E%AE%E5%B8%82%E5%8D%80%E7%95%8C%E7%B7%9A(TWD97%E7%B6%93%E7%B7%AF%E5%BA%A6).zip,2026-08-21,2023-03-17,Taiwan,zip/shp,Township and district boundary geometries used as static map base data.,raw,Cached under data/interim for reproducible map scripts; not edited in place.
tdx_commute_by_workplace_2026-08-24_0800,data/processed/transport/commute_by_workplace.csv,,transport,TDX MaaS,https://tdx.transportdata.tw/api/maas/routing,2026-08-24,2026-08-24T08:00:00+08:00,New Taipei City candidate nodes to four Taipei and five New Taipei workplace presets,csv,MaaS public transit commute routes from 16 candidate living-area nodes to Gangqian City Hall Taipei Main Nangang Xinban Xinzhuang Fuduxin Xizhi Science Park Zhonghe Tech Park and Tucheng Industrial Park workplace presets.,derived,Generated by scripts/transport/build_commute_by_workplace.py; workplace coordinates come from cached TDX station or stop data where available and raw MaaS responses are cached in data/interim/transport/tdx_maas_responses.
rent_commute_candidates_by_workplace_2026-08-24_0800,data/processed/integration/rent_commute_candidates_by_workplace.csv,,integration,Derived from MOI and TDX,https://pip.moi.gov.tw/Publicize/Info/E1080; https://tdx.transportdata.tw/api/maas/routing,2026-08-24,MOI 2026-03 rent benchmark and TDX 2026-08-24T08:00:00+08:00 commute scenario,New Taipei City candidate nodes to four Taipei and five New Taipei workplace presets,csv,Candidate-level rent commute table by workplace preset including workplace-specific Pareto-efficient flags.,derived,Generated by scripts/integration/build_multi_workplace_recommendations.py from commute_by_workplace housing benchmark and candidate locations.
preference_recommendations_by_workplace_2026-08-24_0800,data/processed/integration/preference_recommendations_by_workplace.csv,,integration,Derived from MOI TDX and OSM,https://pip.moi.gov.tw/Publicize/Info/E1080; https://tdx.transportdata.tw/api/maas/routing; https://overpass-api.de/api/interpreter,2026-08-24,MOI 2026-03 rent benchmark TDX 2026-08-24T08:00:00+08:00 commute scenario and OSM POI cache queried on 2026-08-22,New Taipei City candidate nodes to four Taipei and five New Taipei workplace presets,csv,MVP preference-mode rankings by workplace preset; rent commute modes use each workplace's Pareto-efficient candidates first and fill Top-3 slots from the same weighted score when fewer than three Pareto candidates exist; life-quality mode ranks all 16 candidates using POI livability proxy.,derived,Generated by scripts/integration/build_multi_workplace_recommendations.py; weights are MVP user preference settings and livability_index is a POI-based proxy not an objective quality-of-life score.
nominatim_custom_workplace_geocoding_cache,data/interim/geocoding/nominatim_workplace_cache.json,,transport,OpenStreetMap contributors via Nominatim,https://nominatim.openstreetmap.org/search,2026-08-24,Geocoding queries made during custom workplace MVP validation and dashboard use,Taiwan,json,Local cache of user-entered workplace address geocoding results for the Streamlit custom workplace MVP.,derived,Generated by app/custom_workplace.py; cache avoids repeated geocoding requests and stores source display name lat lon and raw Nominatim result.
tdx_custom_workplace_maas_response_cache,data/interim/transport/tdx_maas_responses_custom_workplace,,transport,TDX MaaS,https://tdx.transportdata.tw/api/maas/routing,2026-08-24,TDX 2026-08-24T08:00:00+08:00 public transit commute scenario,New Taipei candidate nodes to user-entered workplace coordinates,json,Local cache of TDX MaaS responses for custom workplace address recommendations.,derived,Generated by app/custom_workplace.py and scripts/product/validate_custom_workplace.py; cache avoids re-querying the same candidate-to-workplace OD pair.
policy_lens_v0_2026-08-25,data/processed/policy/policy_lens_v0.csv,,policy,Derived from MOI TDX OSM and New Taipei rental registration sample,https://pip.moi.gov.tw/Publicize/Info/E1080; https://tdx.transportdata.tw/api/maas/routing; https://overpass-api.de/api/interpreter; https://data.ntpc.gov.tw/datasets/18d62577-1d5f-4967-ab9c-d71faba8cde1,2026-08-25,MOI 2026-03 rent benchmark TDX 2026-08-24T08:00:00+08:00 commute scenario OSM POI cache queried on 2026-08-22 and New Taipei rental sample downloaded 2026-08-21,16 New Taipei candidate living-area nodes,csv,Youth Bureau Policy Lens v0 diagnostic table combining rent benchmark median commute accessibility across existing workplace presets OSM 800m livability proxy and policy-linked rental registration sample structure.,derived,Generated by scripts/policy/build_policy_lens_v0.py; policy-linked rental share is a sample structure measure not market share youth share or true social housing supply rate; Policy v0 is screening not formal prioritization.
tdx_trtc_metro_station_2026-09-04,data/raw/transport/metro/tdx_trtc_metro_station_2026-09-04.json,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City and New Taipei City,json,Raw Taipei Metro TRTC station records from TDX.,raw,Generated by scripts/transport/build_housing_transport_layers.py; raw contents must not be edited in place.
tdx_trtc_metro_line_2026-09-04,data/raw/transport/metro/tdx_trtc_metro_line_2026-09-04.json,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Line/TRTC,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City and New Taipei City,json,Raw Taipei Metro TRTC line records from TDX.,raw,Generated by scripts/transport/build_housing_transport_layers.py; raw contents must not be edited in place.
tdx_trtc_metro_station_of_line_2026-09-04,data/raw/transport/metro/tdx_trtc_metro_station_of_line_2026-09-04.json,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/StationOfLine/TRTC,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City and New Taipei City,json,Raw Taipei Metro TRTC station-of-line records from TDX.,raw,Generated by scripts/transport/build_housing_transport_layers.py; raw contents must not be edited in place.
tdx_taipei_youbike_station_2026-09-04,data/raw/transport/bike/tdx_taipei_youbike_station_2026-09-04.json,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City,json,Raw Taipei YouBike station records from TDX static station endpoint.,raw,Generated by scripts/transport/build_housing_transport_layers.py; real-time availability is intentionally not fetched.
tdx_new_taipei_youbike_station_2026-09-04,data/raw/transport/bike/tdx_new_taipei_youbike_station_2026-09-04.json,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/NewTaipei,2026-09-04,TDX API snapshot requested on 2026-09-04,New Taipei City,json,Raw New Taipei YouBike station records from TDX static station endpoint.,raw,Generated by scripts/transport/build_housing_transport_layers.py; real-time availability is intentionally not fetched.
metro_stations,data/processed/transport/metro_stations.csv,,transport,Derived from TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC; https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/StationOfLine/TRTC,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City and New Taipei City,csv,Processed Taipei Metro TRTC station table with coordinates and line memberships.,derived,Generated by scripts/transport/build_housing_transport_layers.py from data/raw/transport/metro/tdx_trtc_metro_station_2026-09-04.json and data/raw/transport/metro/tdx_trtc_metro_station_of_line_2026-09-04.json.
metro_lines,data/processed/transport/metro_lines.geojson,,transport,Derived from TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Line/TRTC; https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Shape/TRTC,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City and New Taipei City,geojson,Processed Taipei Metro TRTC line GeoJSON; geometry is included only when TDX Shape is available.,derived,Generated by scripts/transport/build_housing_transport_layers.py; Shape status: reused.
youbike_stations,data/processed/transport/youbike_stations.csv,,transport,Derived from TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei; https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/NewTaipei,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City and New Taipei City,csv,Processed YouBike station table for Taipei and New Taipei static stations.,derived,Generated by scripts/transport/build_housing_transport_layers.py; does not include real-time availability.
tdx_trtc_metro_shape_2026-09-04,data/raw/transport/metro/tdx_trtc_metro_shape_2026-09-04.json,,transport,TDX Transport Data eXchange,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Shape/TRTC,2026-09-04,TDX API snapshot requested on 2026-09-04,Taipei City and New Taipei City,json,Raw Taipei Metro TRTC shape records from TDX.,raw,Generated by scripts/transport/build_housing_transport_layers.py; raw contents must not be edited in place.
ris_village_single_age_11507,data/raw/population/ris_village_single_age_11507.json,ODRP014/11507,population,Ministry of the Interior Department of Household Registration,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507,2026-09-05,115年07月 / 2026-07,Taiwan village-level household and single-age population,json,RIS village-level households and single-age male/female population with district codes.,raw,Fetched by scripts/housing/fetch_ris_district_youth_18_35.py; raw API page responses are preserved inside the JSON cache.
ntpc_district_youth_18_35_11507,data/processed/housing/ntpc_district_youth_18_35.csv,,housing,Derived from Ministry of the Interior Department of Household Registration,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507,2026-09-05,115年07月 / 2026-07,New Taipei City 29 districts,csv,"District-level exact 18-35 youth population, youth share, and total population aggregated from RIS village single-age data.",derived,Generated by scripts/housing/fetch_ris_district_youth_18_35.py; exact ages 18-35 from single-age male/female fields; no interpolation or 5-year age-bin estimation.
