workplace_id,workplace_name,workplace_district,workplace_lat,workplace_lon,preference_mode,rank,candidate_name,district,lat,lon,rent,official_median_rent,commute_minutes,transfer_count,rent_saving_vs_neihu,preference_cost,preference_score,normalized_rent,normalized_commute,rent_weight,commute_weight,is_pareto_efficient,dominated_by,route_summary,livability_index,food_count,shopping_count,recreation_count,culture_count,medical_count,total_poi_count,normalized_livability,livability_cost,livability_weight
gangqian_neihu,港墘站,內湖,25.08007,121.57516,省租型,1,淡水站,淡水區,25.167745,121.445805,10000,10000,67.8,1,9500,0.3,0.7,0.0,1.0,0.7,0.3,True,,MRT 淡水信義線 (淡水->圓山) | Bus 內科快線1 (捷運圓山站->瑞光港墘路口),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,省租型,2,汐止車站,汐止區,25.0679,121.66113,14000,14000,47.2,1,5500,0.5154471544715447,0.48455284552845534,0.6666666666666666,0.1626016260162602,0.7,0.3,True,,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,省租型,3,樹林車站,樹林區,24.99123,121.42442,13000,13000,64.7,1,6500,0.6121951219512195,0.3878048780487805,0.5,0.8739837398373985,0.7,0.3,True,,TRA 鶯歌-蘇澳新 (樹林->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,省租型,4,板橋站,板橋區,25.014098,121.462671,16000,16000,43.2,1,3500,0.7,0.30000000000000004,1.0,0.0,0.7,0.3,True,,MRT 板南線 (板橋->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,平衡型,1,汐止車站,汐止區,25.0679,121.66113,14000,14000,47.2,1,5500,0.4146341463414634,0.5853658536585367,0.6666666666666666,0.1626016260162602,0.5,0.5,True,,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,平衡型,2,板橋站,板橋區,25.014098,121.462671,16000,16000,43.2,1,3500,0.5,0.5,1.0,0.0,0.5,0.5,True,,MRT 板南線 (板橋->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,平衡型,3,淡水站,淡水區,25.167745,121.445805,10000,10000,67.8,1,9500,0.5,0.5,0.0,1.0,0.5,0.5,True,,MRT 淡水信義線 (淡水->圓山) | Bus 內科快線1 (捷運圓山站->瑞光港墘路口),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,平衡型,4,樹林車站,樹林區,24.99123,121.42442,13000,13000,64.7,1,6500,0.6869918699186992,0.3130081300813008,0.5,0.8739837398373985,0.5,0.5,True,,TRA 鶯歌-蘇澳新 (樹林->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,通勤型,1,板橋站,板橋區,25.014098,121.462671,16000,16000,43.2,1,3500,0.3,0.7,1.0,0.0,0.3,0.7,True,,MRT 板南線 (板橋->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,通勤型,2,汐止車站,汐止區,25.0679,121.66113,14000,14000,47.2,1,5500,0.31382113821138213,0.6861788617886179,0.6666666666666666,0.1626016260162602,0.3,0.7,True,,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,通勤型,3,淡水站,淡水區,25.167745,121.445805,10000,10000,67.8,1,9500,0.7,0.30000000000000004,0.0,1.0,0.3,0.7,True,,MRT 淡水信義線 (淡水->圓山) | Bus 內科快線1 (捷運圓山站->瑞光港墘路口),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,通勤型,4,樹林車站,樹林區,24.99123,121.42442,13000,13000,64.7,1,6500,0.7617886178861789,0.2382113821138211,0.5,0.8739837398373985,0.3,0.7,True,,TRA 鶯歌-蘇澳新 (樹林->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),,,,,,,,,,
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,1,板橋站,板橋區,25.014098,121.462671,16000,16000,43.2,1,3500,0.14117647058823532,0.8588235294117647,0.7058823529411765,0.0,0.2,0.2,True,,MRT 板南線 (板橋->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),0.8019162575013639,193.0,57.0,59.0,10.0,19.0,338.0,1.0,0.0,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,2,大坪林站,新店區,24.98272,121.54134,15500,15500,50.8,1,4000,0.22701624709490997,0.77298375290509,0.6470588235294118,0.15866388308977025,0.2,0.2,False,汐止車站,MRT 松山新店線 (大坪林->南京復興) | MRT 文湖線 (南京復興->港墘),0.7171376811594202,256.0,49.0,34.0,4.0,48.0,391.0,0.8902138237148775,0.10978617628512255,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,3,樹林車站,樹林區,24.99123,121.42442,13000,13000,64.7,1,6500,0.29646602820506585,0.7035339717949342,0.35294117647058826,0.4488517745302715,0.2,0.2,True,,TRA 鶯歌-蘇澳新 (樹林->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),0.6267424907295398,198.0,42.0,23.0,9.0,33.0,305.0,0.7731542699918436,0.22684573000815644,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,4,三峽北大特區,三峽區,24.94489,121.37368,10000,10000,91.1,1,9500,0.3944378982821689,0.6055621017178311,0.0,1.0,0.2,0.2,False,淡水站; 泰山站,Bus 939 (臺北大學正門->敦化和平路口) | MRT 文湖線 (六張犁->港墘),0.5516696909319481,157.0,39.0,52.0,6.0,11.0,265.0,0.6759368361963852,0.3240631638036148,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,5,景安站,中和區,24.99392,121.505114,15000,15000,63.8,1,4500,0.3988470110320652,0.6011529889679348,0.5882352941176471,0.43006263048016696,0.2,0.2,False,汐止車站; 三重站; 頂溪站; 土城站,MRT 中和新蘆線 (景安->中山國小) | Bus 內湖幹線 (台泥大樓(馬偕醫院)->捷運港墘站(內湖高工)),0.5507050293729294,137.0,62.0,23.0,3.0,36.0,261.0,0.6746876231458293,0.3253123768541707,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,6,頂溪站,永和區,25.01308,121.515398,15000,15000,51.7,1,4500,0.41461896323546776,0.5853810367645322,0.5882352941176471,0.17745302713987476,0.2,0.2,False,汐止車站,Bus 內科通勤專車2 (捷運頂溪站->基湖站) | MRT 文湖線 (西湖->港墘),0.4653831131351945,132.0,54.0,27.0,4.0,16.0,233.0,0.5641978350267277,0.4358021649732723,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,7,淡水站,淡水區,25.167745,121.445805,10000,10000,67.8,1,9500,0.42037233821216785,0.5796276617878322,0.0,0.5135699373695198,0.2,0.2,True,,MRT 淡水信義線 (淡水->圓山) | Bus 內科快線1 (捷運圓山站->瑞光港墘路口),0.3930818053875408,218.0,31.0,25.0,3.0,11.0,288.0,0.4705694154362269,0.5294305845637731,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,8,三重站,三重區,25.05571,121.48422,15000,15000,51.7,1,4500,0.45479907946913245,0.5452009205308675,0.5882352941176471,0.17745302713987476,0.2,0.2,False,汐止車站,MRT 中和新蘆線 (三重->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),0.4136702720652767,82.0,48.0,30.0,5.0,12.0,177.0,0.49723097463728655,0.5027690253627135,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,9,汐止車站,汐止區,25.0679,121.66113,14000,14000,47.2,1,5500,0.4721295189251383,0.5278704810748617,0.47058823529411764,0.08350730688935283,0.2,0.2,True,,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘),0.336900483882445,67.0,41.0,22.0,5.0,12.0,147.0,0.3978159825192595,0.6021840174807405,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,10,泰山站,泰山區,25.05321,121.43943,10000,10000,68.6,1,9500,0.5640410330178061,0.43595896698219394,0.0,0.5302713987473903,0.2,0.2,False,淡水站,Bus 786 (捷運泰山站->泰山國中) | Bus 946副 (高公局->瑞光港墘路口),0.2124755489140318,60.0,18.0,26.0,3.0,12.0,119.0,0.23668874455278682,0.7633112554472132,0.6
